Thread ID: 18456180
Fiber ID: 52550820
Total: 4.988290
Sort by: self_time

 %self      total      self      wait     child     calls  name
  2.04      0.970     0.102     0.000     0.868    98004  *Class#new 
  1.87      0.095     0.093     0.000     0.002   147094   Hash#[]= 
  1.62      0.139     0.081     0.000     0.058   156000   ActiveSupport::Notifications::Fanout::Subscribers::Evented#subscribed_to? 
  1.46      0.073     0.073     0.000     0.000    11000   Regexp#=== 
  1.29      0.064     0.064     0.000     0.000     1000   SQLite3::Statement#initialize 
  1.21      0.061     0.061     0.000     0.000    16002   Hash#initialize 
  1.17      0.059     0.059     0.000     0.000     8000   Array#flatten 
  1.16      0.067     0.058     0.000     0.009    77004   Kernel#respond_to? 
  1.14      0.236     0.057     0.000     0.179     7000   Array#select 
  1.11      0.124     0.055     0.000     0.068    71000   ThreadSafe::Cache#[] 
  1.09      0.054     0.054     0.000     0.000     6000   Hash#merge! 
  1.06      0.157     0.053     0.000     0.104    24000   Hash#each 
  1.01      0.108     0.050     0.000     0.058     5000   URI::Generic#initialize 
  1.01      0.072     0.050     0.000     0.022    73000   ThreadSafe::NonConcurrentCacheBackend#[] 
  0.96      0.048     0.048     0.000     0.000    20000   String#split 
  0.91      0.050     0.045     0.000     0.005     1000   ActiveSupport::MessageEncryptor#initialize 
  0.91      0.647     0.045     0.000     0.601     1000   Jbuilder#_map_collection 
  0.84      0.084     0.042     0.000     0.043    33002   Array#map 
  0.82      0.041     0.041     0.000     0.000     6000   MatchData#[] 
  0.82      0.041     0.041     0.000     0.000    10000   String#=~ 
  0.78      0.039     0.039     0.000     0.000   187000   String#to_s 
  0.77      0.079     0.039     0.000     0.041     1000   Rack::Request#POST 
  0.75      0.097     0.037     0.000     0.060    41000   ActiveSupport::PerThreadRegistry#per_thread_registry_instance 
  0.73      3.082     0.036     0.000     3.046    77003  *Array#each 
  0.71      0.035     0.035     0.000     0.000    51000   Thread#[] 
  0.66      0.033     0.033     0.000     0.000     1000   Rack::Request#scheme 
  0.66      0.033     0.033     0.000     0.000   213000   String#=== 
  0.65      0.068     0.033     0.000     0.036    19000   Rack::Utils::HeaderHash#[]= 
  0.64      0.096     0.032     0.000     0.064     1000   ActionView::TemplateRenderer#determine_template 
  0.64      0.056     0.032     0.000     0.024    50000  *Kernel#public_send 
  0.60      0.032     0.030     0.000     0.002     1000   SQLite3::Statement#step 
  0.58      0.029     0.029     0.000     0.000     1000   ActiveRecord::QueryMethods#order_values 
  0.58      0.029     0.029     0.000     0.000    17002   Hash#initialize_copy 
  0.57      4.877     0.028     0.000     4.849     1000   ActionDispatch::Integration::Session#process 
  0.54      0.027     0.027     0.000     0.000    68000   Kernel#is_a? 
  0.52      0.059     0.026     0.000     0.033     1000   ActiveSupport::Inflector#underscore 
  0.51      0.025     0.025     0.000     0.000     3000   IO#write 
  0.51      0.025     0.025     0.000     0.000    52000   Module#name 
  0.47      0.024     0.024     0.000     0.000     1000   <Class::Dir>#[] 
  0.47      0.023     0.023     0.000     0.000     5000   String#% 
  0.45      0.288     0.022     0.000     0.266    16000   ActiveSupport::Notifications::Fanout#listeners_for 
  0.44      0.065     0.022     0.000     0.043    28002  *Kernel#dup 
  0.43      0.021     0.021     0.000     0.000     4000   String#gsub! 
  0.41      0.023     0.020     0.000     0.002     1000   Time#to_default_s 
  0.41      0.020     0.020     0.000     0.000     3000   Regexp#initialize 
  0.39      0.019     0.019     0.000     0.000    50000   Module#=== 
  0.38      0.059     0.019     0.000     0.040    36003  *Kernel#initialize_dup 
  0.38      0.130     0.019     0.000     0.110     2000   ActionDispatch::Response#initialize 
  0.37      0.043     0.019     0.000     0.024    20000   <Class::Time>#now 
  0.37      0.088     0.019     0.000     0.069     5000   URI::Parser#split 
  0.34      0.017     0.017     0.000     0.000    68000   <Class::Thread>#current 
  0.34      0.031     0.017     0.000     0.014    23000   Enumerable#any? 
  0.34      0.022     0.017     0.000     0.005    12000  *Array#join 
  0.33      0.024     0.017     0.000     0.008    20000   Time#initialize 
  0.33      0.103     0.017     0.000     0.087     3000  *<Class::Rack::MockRequest>#env_for 
  0.32      0.035     0.016     0.000     0.019     2000   Array#reject! 
  0.31      0.015     0.015     0.000     0.000     3000   <Class::ActiveRecord::Base>#logger 
  0.30      0.015     0.015     0.000     0.000    31000   String#downcase 
  0.30      0.031     0.015     0.000     0.016     8001   Hash#merge 
  0.30      0.042     0.015     0.000     0.027     6000   ActionDispatch::Request#initialize 
  0.30      0.274     0.015     0.000     0.260    22000  *Mutex#synchronize 
  0.29      0.015     0.015     0.000     0.000    21092   Symbol#to_s 
  0.28      0.015     0.014     0.000     0.002    42000   String#== 
  0.28      0.025     0.014     0.000     0.011     3000  *URI::Generic#to_s 
  0.28      0.019     0.014     0.000     0.005    51000   ActiveSupport::Notifications::Fanout::Subscribers::Evented#matches? 
  0.27      0.102     0.013     0.000     0.089     9000   Kernel#tap 
  0.26      0.013     0.013     0.000     0.000    45002   Kernel#class 
  0.25      0.024     0.013     0.000     0.012     4000   Time#minus_without_duration 
  0.25      0.240     0.013     0.000     0.227     3000   ActiveSupport::Subscriber#finish 
  0.24      0.021     0.012     0.000     0.009    10000   Array#include? 
  0.23      0.074     0.012     0.000     0.062     5000   MonitorMixin#mon_synchronize 
  0.23      0.105     0.011     0.000     0.093     1000   ActiveRecord::QueryMethods#build_arel 
  0.23      0.011     0.011     0.000     0.000    51001   Kernel#respond_to_missing? 
  0.22      0.227     0.011     0.000     0.216     5000   URI::Parser#parse 
  0.21      0.042     0.011     0.000     0.031     1000   Rack::Utils#parse_query 
  0.21      0.013     0.011     0.000     0.002     3000   Array#collect 
  0.21      0.029     0.011     0.000     0.019     4000   ActionView::LookupContext::ViewPaths#normalize_name 
  0.21      0.108     0.010     0.000     0.097     3000   Logger#add 
