Thread ID: 18456180
Fiber ID: 52550820
Total: 6.179719
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.18      0.011     0.011     0.000     0.000    29000   Fixnum#+ 
  0.18      0.203     0.011     0.000     0.191     5000   URI::Parser#parse 
  0.17      0.030     0.011     0.000     0.020     1000   URI::Generic#merge_path 
  0.17      0.013     0.011     0.000     0.002     3000   Array#collect 
  0.17      5.373     0.011     0.000     5.362     1000   Rack::MockSession#request 
  0.17      6.103     0.010     0.000     6.093     1000   ActiveSupport::Testing::Performance::Metrics::Base#profile 
  0.17      0.081     0.010     0.000     0.070     1000   Rack::Request#POST 
  0.17      0.010     0.010     0.000     0.000    44000   Kernel#hash 
  0.17      0.042     0.010     0.000     0.032     1000   Rack::Utils#parse_query 
  0.17      2.834     0.010     0.000     2.823     1000   JbuilderController#_run__730444837207479287__process_action__callbacks 
  0.17      0.025     0.010     0.000     0.014     7000  *Rack::BodyProxy#respond_to? 
  0.17      0.193     0.010     0.000     0.183     1000   Rack::Test::Session#env_for 
  0.16      0.031     0.010     0.000     0.021    12000   Set#add? 
  0.16      0.059     0.010     0.000     0.050     5000   ActionView::Resolver::Cache#cache 
  0.16      0.023     0.010     0.000     0.013     4000   ActiveSupport::Notifications::Event#initialize 
  0.15      0.020     0.009     0.000     0.011     6000   ActionDispatch::Http::FilterParameters#initialize 
  0.15      0.009     0.009     0.000     0.000     4000   Array#- 
  0.15      0.009     0.009     0.000     0.000    30000   Array#first 
  0.15      0.496     0.009     0.000     0.487     1000   ActiveRecord::Querying#find_by_sql 
  0.15      0.012     0.009     0.000     0.003     5000   URI::Generic#set_userinfo 
  0.15      0.009     0.009     0.000     0.000    28000   Hash#key? 
  0.15      0.036     0.009     0.000     0.026     4000   ActiveSupport::TaggedLogging::Formatter#call 
  0.15      0.093     0.009     0.000     0.083     4000   ActiveSupport::Subscriber#start 
  0.15      0.009     0.009     0.000     0.000    20000   Hash#include? 
  0.15      0.020     0.009     0.000     0.011    22000  *Hash#[] 
  0.14      0.087     0.009     0.000     0.078     3000  *ActionController::LogSubscriber#process_action 
  0.14      0.052     0.009     0.000     0.043     1000   Rack::Test::Cookie#valid? 
  0.14      0.038     0.009     0.000     0.030     1000   <Module::ActionDispatch::Http::URL>#build_host_url 
