Thread ID: 18456180
Fiber ID: 52550820
Total: 5.681953
Sort by: self_time

 %self      total      self      wait     child     calls  name
  3.25      0.186     0.184     0.000     0.002   159094   Hash#[]= 
  3.04      0.183     0.173     0.000     0.010     8000   <Class::ActiveRecord::DynamicMatchers::Method>#pattern 
  2.53      1.090     0.144     0.000     0.947     1000   BasicObject#instance_eval 
  1.94      0.951     0.110     0.000     0.840    96004  *Class#new 
  1.44      0.143     0.082     0.000     0.061   156000   ActiveSupport::Notifications::Fanout::Subscribers::Evented#subscribed_to? 
  1.41      0.092     0.080     0.000     0.012   100004   Kernel#respond_to? 
  1.11      0.063     0.063     0.000     0.000     7000   Array#& 
  1.09      0.211     0.062     0.000     0.149    25000   Hash#each 
  1.08      0.062     0.062     0.000     0.000     1000   SQLite3::Statement#initialize 
  1.02      0.211     0.058     0.000     0.152     7000   Array#select 
  1.02      0.128     0.058     0.000     0.070    37002   Array#map 
  1.00      0.130     0.057     0.000     0.073    71000   ThreadSafe::Cache#[] 
  0.98      0.056     0.056     0.000     0.000     1000   JSON::Ext::Generator::State#generate 
  0.96      0.077     0.055     0.000     0.022    73000   ThreadSafe::NonConcurrentCacheBackend#[] 
  0.93      0.113     0.053     0.000     0.060     5000   URI::Generic#initialize 
  0.90      0.051     0.051     0.000     0.000    21000   String#split 
  0.79      0.045     0.045     0.000     0.000    11000   String#=~ 
  0.78      0.045     0.045     0.000     0.000     5000   Module#ancestors 
  0.78      0.044     0.044     0.000     0.000   102000   Module#name 
  0.75      0.042     0.042     0.000     0.000    11000   Regexp#=== 
  0.73      0.041     0.041     0.000     0.000   188000   String#to_s 
  0.71      3.751     0.040     0.000     3.711    82003  *Array#each 
  0.70      0.040     0.040     0.000     0.000   104000   Kernel#is_a? 
  0.67      0.100     0.038     0.000     0.062    41000   ActiveSupport::PerThreadRegistry#per_thread_registry_instance 
  0.63      0.036     0.036     0.000     0.000    51000   Thread#[] 
  0.59      0.034     0.034     0.000     0.000   213000   String#=== 
  0.58      0.111     0.033     0.000     0.077    19000   Rack::Utils::HeaderHash#[]= 
  0.58      0.058     0.033     0.000     0.026    50000  *Kernel#public_send 
  0.57      0.033     0.033     0.000     0.000    18002   Hash#initialize_copy 
  0.57      0.034     0.033     0.000     0.002     1000   SQLite3::Statement#step 
  0.53      5.567     0.030     0.000     5.536     1000   ActionDispatch::Integration::Session#process 
  0.47      0.027     0.027     0.000     0.000     3000   IO#write 
  0.47      0.061     0.027     0.000     0.034     1000   ActiveSupport::Inflector#underscore 
  0.46      0.073     0.026     0.000     0.047    29002  *Kernel#dup 
  0.43      0.025     0.025     0.000     0.000    36092   Symbol#to_s 
  0.42      0.024     0.024     0.000     0.000     1000   <Class::Dir>#[] 
  0.42      0.024     0.024     0.000     0.000     5000   String#% 
  0.40      0.069     0.023     0.000     0.047    39003  *Kernel#initialize_dup 
  0.40      0.297     0.023     0.000     0.274    16000   ActiveSupport::Notifications::Fanout#listeners_for 
  0.39      0.022     0.022     0.000     0.000     4000   String#gsub! 
  0.38      0.024     0.022     0.000     0.002     1000   Time#to_default_s 
  0.38      0.022     0.022     0.000     0.000    51000   Module#=== 
  0.38      0.037     0.021     0.000     0.015    25000   Enumerable#any? 
  0.37      0.138     0.021     0.000     0.117     2000   ActionDispatch::Response#initialize 
  0.35      0.020     0.020     0.000     0.000     3000   Regexp#initialize 
  0.33      0.044     0.019     0.000     0.026    20000   <Class::Time>#now 
  0.33      0.059     0.019     0.000     0.040     5000   URI::Parser#split 
  0.33      0.019     0.019     0.000     0.000    68000   <Class::Thread>#current 
  0.33      0.041     0.019     0.000     0.022    10001   Hash#merge 
