Thread ID: 18456180
Fiber ID: 52550820
Total: 4.643847
Sort by: self_time

 %self      total      self      wait     child     calls  name
  4.69      0.218     0.218     0.000     0.000   157000   Hash#[]= 
  1.97      0.823     0.091     0.000     0.731    98000  *Class#new 
  1.78      0.083     0.083     0.000     0.000    20000   String#split 
  1.66      0.080     0.077     0.000     0.003     1000   BasicObject#instance_eval 
  1.40      0.112     0.065     0.000     0.047   130000   ActiveSupport::Notifications::Fanout::Subscribers::Evented#subscribed_to? 
  1.24      0.058     0.058     0.000     0.000    19000   Hash#initialize 
  1.22      0.081     0.057     0.000     0.024    18000   <Class::Time>#now 
  1.22      0.065     0.057     0.000     0.009    82001   Kernel#respond_to? 
  1.17      0.157     0.054     0.000     0.103    27000   Hash#each 
  1.17      0.054     0.054     0.000     0.000     8000   Array#flatten 
  1.07      0.174     0.050     0.000     0.125     3000  *<Class::Rack::MockRequest>#env_for 
  1.06      0.113     0.049     0.000     0.064    65000   ThreadSafe::Cache#[] 
  1.05      0.104     0.049     0.000     0.055     5000   URI::Generic#initialize 
  1.00      0.168     0.047     0.000     0.121     6000   Array#select 
  0.92      0.064     0.043     0.000     0.021    65000   ThreadSafe::NonConcurrentCacheBackend#[] 
  0.89      0.041     0.041     0.000     0.000    11000   String#=~ 
  0.88      0.041     0.041     0.000     0.000    11000   Regexp#=== 
  0.80      2.718     0.037     0.000     2.681    67000  *Array#each 
  0.74      0.045     0.034     0.000     0.011     9000   Enumerable#map 
  0.73      0.098     0.034     0.000     0.064    29000   Array#map 
  0.72      0.036     0.034     0.000     0.003     2000   <Module::URI>#decode_www_form_component 
  0.72      0.033     0.033     0.000     0.000   162000   String#to_s 
  0.69      0.067     0.032     0.000     0.036    19000   Rack::Utils::HeaderHash#[]= 
  0.66      0.038     0.030     0.000     0.007     3000   ActiveSupport::Notifications::Fanout#subscribe 
  0.64      0.030     0.030     0.000     0.000    17001   Hash#initialize_copy 
  0.61      0.028     0.028     0.000     0.000    77000   Kernel#is_a? 
  0.60      0.073     0.028     0.000     0.045    32000   ActiveSupport::PerThreadRegistry#per_thread_registry_instance 
  0.59      0.027     0.027     0.000     0.000    42000   Thread#[] 
  0.59      4.513     0.027     0.000     4.486     1000   ActionDispatch::Integration::Session#process 
  0.58      0.027     0.027     0.000     0.000   187000   String#=== 
  0.56      0.026     0.026     0.000     0.000    45001   Symbol#to_s 
  0.54      0.056     0.025     0.000     0.031     1000   ActiveSupport::Inflector#underscore 
  0.53      0.043     0.025     0.000     0.018    41000  *Kernel#public_send 
  0.52      0.024     0.024     0.000     0.000     1000   <Class::Dir>#[] 
  0.48      0.022     0.022     0.000     0.000     3000   IO#write 
  0.46      0.021     0.021     0.000     0.000     5000   String#% 
  0.46      0.057     0.021     0.000     0.036    21000   Kernel#dup 
  0.44      0.020     0.020     0.000     0.000     4000   String#gsub! 
  0.41      0.169     0.019     0.000     0.150     2000   ActionDispatch::Response#initialize 
  0.41      0.021     0.019     0.000     0.002     1000   Time#to_default_s 
  0.40      0.019     0.019     0.000     0.000     3000   Regexp#initialize 
  0.40      0.019     0.019     0.000     0.000    40000   Module#name 
  0.39      0.057     0.018     0.000     0.039    31001   Kernel#initialize_dup 
  0.39      0.024     0.018     0.000     0.006    18000   Time#initialize 
  0.39      0.039     0.018     0.000     0.021    10001   Hash#merge 
  0.38      0.234     0.018     0.000     0.216    14000   ActiveSupport::Notifications::Fanout#listeners_for 
  0.38      0.056     0.018     0.000     0.039     5000   URI::Parser#split 
  0.36      0.017     0.017     0.000     0.000    44000   Module#=== 
  0.34      0.034     0.016     0.000     0.018     2000   Array#reject! 
  0.32      0.015     0.015     0.000     0.000    31000   String#downcase 
  0.32      0.139     0.015     0.000     0.124     1000   JSON::Ext::Generator::State#generate 
  0.31      0.014     0.014     0.000     0.000    59000   <Class::Thread>#current 
  0.31      0.041     0.014     0.000     0.026     6000   ActionDispatch::Request#initialize 
  0.29      0.018     0.013     0.000     0.005    51000   ActiveSupport::Notifications::Fanout::Subscribers::Evented#matches? 
  0.29      0.024     0.013     0.000     0.011     3000  *URI::Generic#to_s 
  0.28      0.026     0.013     0.000     0.013    17000   Enumerable#any? 
  0.27      0.107     0.013     0.000     0.094     6000   ActionDispatch::Journey::GTG::TransitionTable#move 
  0.27      0.078     0.013     0.000     0.066     4000   ActiveSupport::JSON::Encoding::Encoder#check_for_circular_references 
  0.27      0.494     0.012     0.000     0.481     1000   Rabl::Engine#render 
  0.27      0.014     0.012     0.000     0.002    42000   String#== 
  0.26      0.012     0.012     0.000     0.000     6000   Hash#merge! 
  0.26      0.229     0.012     0.000     0.217    20000  *Mutex#synchronize 
  0.26      0.012     0.012     0.000     0.000     6000   MatchData#[] 
  0.26      0.126     0.012     0.000     0.114     9000   Kernel#tap 
  0.26      0.012     0.012     0.000     0.000    11000   String#encode 
  0.26      0.040     0.012     0.000     0.028    15000   Object#present? 
  0.25      0.069     0.011     0.000     0.058     5000   MonitorMixin#mon_synchronize 
  0.23      0.011     0.011     0.000     0.000    37000   Kernel#class 
  0.23      0.190     0.011     0.000     0.179     5000   URI::Parser#parse 
