Thread ID: 18456180
Fiber ID: 52550820
Total: 5.751410
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.19      4.989     0.011     0.000     4.978     1000   Rack::MockSession#request 
  0.18      5.635     0.011     0.000     5.624     1000   ActiveSupport::Testing::Performance::Metrics::Base#profile 
  0.18      0.040     0.010     0.000     0.030     9000   Enumerable#map 
  0.18      0.119     0.010     0.000     0.108     3000   Logger#add 
  0.18      0.042     0.010     0.000     0.032     1000   Rack::Utils#parse_query 
  0.18      0.010     0.010     0.000     0.000    29000   Hash#key? 
  0.18      0.052     0.010     0.000     0.041     1000   Rack::Request#POST 
  0.18      0.010     0.010     0.000     0.000    21000   Rabl::Helpers#context_scope 
  0.18      0.025     0.010     0.000     0.015     7000  *Rack::BodyProxy#respond_to? 
  0.17      0.191     0.010     0.000     0.181     1000   Rack::Test::Session#env_for 
  0.17      0.012     0.010     0.000     0.002     3000   Array#collect 
  0.17      0.010     0.010     0.000     0.000    30000   Array#first 
  0.17      0.075     0.010     0.000     0.065     2000   Rabl::Engine#request_format 
  0.17      0.016     0.010     0.000     0.006     5000   MonitorMixin#mon_enter 
  0.17      0.035     0.010     0.000     0.025    23000  *Hash#[] 
  0.17      0.013     0.010     0.000     0.003     5000   URI::Generic#set_userinfo 
  0.16      0.020     0.009     0.000     0.010     6000   ActionDispatch::Http::FilterParameters#initialize 
  0.16      0.009     0.009     0.000     0.000    15000   Kernel#instance_variable_get 
  0.16      0.011     0.009     0.000     0.002    15000   Array#eql? 
  0.16      0.093     0.009     0.000     0.084     3000  *ActionController::LogSubscriber#process_action 
  0.16      0.121     0.009     0.000     0.112     6000   ActionView::LookupContext::ViewPaths#args_for_lookup 
  0.16      0.520     0.009     0.000     0.511     1000   ActiveRecord::Querying#find_by_sql 
  0.16      0.318     0.009     0.000     0.309     1000   <Module::Rabl>#source_cache 
  0.16      0.017     0.009     0.000     0.007     5000   MonitorMixin#mon_exit 
  0.16      0.025     0.009     0.000     0.016     3000   Hash#hash 
  0.16      0.059     0.009     0.000     0.050     1000   ActionView::MissingTemplate#initialize 
  0.15      0.054     0.009     0.000     0.045     1000   Rack::Test::Cookie#valid? 
  0.15      0.080     0.009     0.000     0.071     6000   ActionView::Resolver#cached 
  0.15      0.029     0.009     0.000     0.020     6000   ActionDispatch::Http::URL#initialize 
  0.15      2.924     0.009     0.000     2.915     5000  *ActiveSupport::Notifications::Instrumenter#instrument 
  0.15      0.146     0.008     0.000     0.137     1000   Rack::Response#initialize 
  0.15      0.011     0.008     0.000     0.003     6000   Array#== 
  0.15      0.008     0.008     0.000     0.000    22000   Fixnum#+ 
  0.15      0.012     0.008     0.000     0.004     7000   URI::Generic#set_port 
  0.15      0.058     0.008     0.000     0.049     3000   Array#map! 
  0.14      0.045     0.008     0.000     0.037     8000   ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool 
  0.14      0.012     0.008     0.000     0.004     2000   ActionDispatch::Http::MimeNegotiation#content_mime_type 
  0.14      1.326     0.008     0.000     1.317     1000   Rabl::Engine#cache_results 
  0.14      0.124     0.008     0.000     0.115     1000   URI::Generic#merge 
  0.14      0.024     0.008     0.000     0.016     5000   ActiveSupport::HashWithIndifferentAccess#initialize 
  0.14      0.014     0.008     0.000     0.006     9000   ActiveSupport::HashWithIndifferentAccess#convert_key 
  0.14      0.090     0.008     0.000     0.083     1000   ActionDispatch::Journey::GTG::Simulator#simulate 
  0.14      0.820     0.008     0.000     0.813     1000   ActiveRecord::FinderMethods#find_first 
  0.14      0.011     0.008     0.000     0.004     9000   Kernel#Array 
  0.14      0.023     0.008     0.000     0.016     4000   ActiveSupport::Callbacks::ClassMethods#__define_callbacks 
  0.13      0.029     0.008     0.000     0.021     6000   ActiveSupport::HashWithIndifferentAccess#default 
  0.13      0.086     0.008     0.000     0.078     1000   Arel::Visitors::ToSql#visit_Arel_Nodes_SelectCore 
  0.13      0.008     0.008     0.000     0.000     1000   <Module::OpenSSL::Random>#random_bytes 
  0.13      0.023     0.008     0.000     0.015    10000   <Class::ActionController::Base>#logger 
  0.13      0.008     0.008     0.000     0.000     7000   StringScanner#scan 
  0.13      0.008     0.008     0.000     0.000    13000   ActiveSupport::Configurable::ClassMethods#config 
  0.13      0.017     0.007     0.000     0.010     3000   ActiveSupport::Notifications::Event#initialize 
  0.13      0.022     0.007     0.000     0.014     8000   ActiveRecord::ConnectionAdapters::ConnectionHandler#class_to_pool 
  0.13      0.673     0.007     0.000     0.666     1000   ActiveRecord::Relation#exec_queries 
  0.13      0.007     0.007     0.000     0.000    19000   Kernel#kind_of? 
  0.13      3.341     0.007     0.000     3.333     1000   ActionController::Instrumentation#process_action 
  0.13      0.164     0.007     0.000     0.156     4000   ActionDispatch::Http::Parameters#parameters 
  0.13      0.012     0.007     0.000     0.004     9000   Arel::Visitors::Visitor#dispatch 
  0.13      0.007     0.007     0.000     0.000     5000   String#gsub 
  0.12      0.015     0.007     0.000     0.007     8000   URI::Generic#default_port 
  0.12      0.058     0.007     0.000     0.050     1000   Rack::Request#cookies 
  0.12      4.646     0.007     0.000     4.639     2000  *Rails::Engine#call 
  0.12      0.030     0.007     0.000     0.023     7000   ActiveSupport::HashWithIndifferentAccess#update 
  0.12      0.007     0.007     0.000     0.000    16000   Array#compact 
  0.12      0.027     0.007     0.000     0.020     3000   ActiveSupport::TaggedLogging::Formatter#call 
  0.12      0.008     0.007     0.000     0.001     1000   Kernel#raise 
  0.12      0.043     0.007     0.000     0.036    24000  *<Class::ActiveRecord::Base>#connection_handler 
  0.12      0.007     0.007     0.000     0.000    24000   Kernel#block_given? 
  0.12      0.007     0.007     0.000     0.000    52000   Kernel#=== 
  0.12      4.392     0.007     0.000     4.385     1000   Rails::Rack::Logger#call_app 
  0.11      3.648     0.007     0.000     3.642    12000  *Proc#call 
  0.11      4.298     0.007     0.000     4.291     4000  *ActiveSupport::Callbacks#run_callbacks 
  0.11      3.995     0.007     0.000     3.988     1000   Rack::ETag#call 
  0.11      0.070     0.007     0.000     0.063     3000   ActiveSupport::Subscriber#start 
  0.11      1.309     0.007     0.000     1.303     1000   Rabl::Engine#to_json 
  0.11      3.478     0.007     0.000     3.471     1000   AbstractController::Rendering#process 
  0.11      0.079     0.007     0.000     0.072     6000   ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection 
  0.11      0.018     0.006     0.000     0.012     4000   Hash#each_pair 
  0.11      1.228     0.006     0.000     1.222     1000   Rabl::Builder#compile_hash 
  0.11      0.065     0.006     0.000     0.059     6000   ActionView::LookupContext::ViewPaths#detail_args_for 
  0.11      0.061     0.006     0.000     0.055     6000   ActionDispatch::Journey::GTG::TransitionTable#move 
  0.11      0.108     0.006     0.000     0.102     6000   ActionView::PathSet#find_all 
  0.11      0.016     0.006     0.000     0.010     2000   AbstractController::ViewPaths#_prefixes 
  0.11      0.006     0.006     0.000     0.000     9000   ActiveSupport::SubscriberQueueRegistry#get_queue 
  0.11      0.036     0.006     0.000     0.030     6000   ActionDispatch::Journey::GTG::TransitionTable#move_regexp 
  0.11      0.010     0.006     0.000     0.004    10000   #<Class:0x0000000500e628>#logger 
  0.11      0.024     0.006     0.000     0.018     3000   ActionDispatch::Response#body= 
  0.11      0.007     0.006     0.000     0.001    11000   Hash#delete 
  0.11      0.016     0.006     0.000     0.009     1000   ActionDispatch::Response#assign_default_content_type_and_charset! 
  0.11      0.006     0.006     0.000     0.000    10000   Fixnum#to_default_s 
  0.11      0.090     0.006     0.000     0.084     1000   ActionDispatch::FileHandler#match? 
  0.11      0.006     0.006     0.000     0.000     1000   <Class::File>#exist? 
  0.11      0.006     0.006     0.000     0.000     5000   Symbol#[] 
  0.11      0.050     0.006     0.000     0.044    18000  *ActiveSupport::Subscriber#event_stack 
  0.11      0.008     0.006     0.000     0.002     1000   Enumerable#sort_by 
  0.10      0.048     0.006     0.000     0.042     4000   Time#minus_with_coercion 
  0.10      0.014     0.006     0.000     0.008     3000   Array#inspect 
  0.10      0.020     0.006     0.000     0.014     1000   Rack::Request#ip 
  0.10      0.064     0.006     0.000     0.058     8000  *AbstractController::ViewPaths#lookup_context 
  0.10      0.008     0.006     0.000     0.002     5000   Rack::Request#path_info 
  0.10      0.029     0.006     0.000     0.023    10000   ActionController::LogSubscriber#logger 
  0.10      0.013     0.006     0.000     0.007     3000   ActiveSupport::InheritableOptions#initialize 
  0.10      0.010     0.006     0.000     0.005     6000   ActionDispatch::Http::Parameters#initialize 
  0.10      0.061     0.006     0.000     0.056     1000   ActionController::LogSubscriber#start_processing 
  0.10      0.011     0.006     0.000     0.005     4000   Rack::Utils::HeaderHash#[] 
  0.10      0.009     0.006     0.000     0.003     4000   ActionDispatch::Request#request_method 
  0.10      0.116     0.006     0.000     0.110     6000   ActiveRecord::ConnectionHandling#retrieve_connection 
  0.10      0.006     0.006     0.000     0.000     1000   ActionController::Metal#initialize 
  0.10      0.326     0.006     0.000     0.321     1000   Rabl::Partials#fetch_source 
  0.10      0.011     0.006     0.000     0.005     2000   Array#initialize 
  0.10      0.006     0.006     0.000     0.000    10000   String#upcase 
  0.10      0.013     0.006     0.000     0.007     7000   Object#presence 
  0.10      0.024     0.006     0.000     0.018     1000   Hash#inspect 
  0.10      0.018     0.006     0.000     0.012     6000   ActiveSupport::HashWithIndifferentAccess#key? 
  0.10      0.227     0.006     0.000     0.222     1000   Rabl::Partials#fetch_rails_source 
  0.10      0.008     0.006     0.000     0.003     2000   <Module::URI>#decode_www_form_component 
  0.10      0.018     0.006     0.000     0.012     1000   ActionController::RackDelegation#response_body= 
  0.10      0.013     0.006     0.000     0.008     2000   Arel::Visitors::ToSql#visit_Arel_Attributes_Attribute 
  0.10      0.013     0.006     0.000     0.007     3000   Hash#eql? 
  0.10      0.058     0.005     0.000     0.053     1000   ActionController::TemplateAssertions#setup_subscriptions 
  0.09      0.005     0.005     0.000     0.000     7000   Rack::Request#initialize 
  0.09      0.005     0.005     0.000     0.000     2000   Regexp#=~ 
  0.09      0.005     0.005     0.000     0.000    13000   Array#pop 
  0.09      2.291     0.005     0.000     2.286     1000   ActionController::ImplicitRender#send_action 
  0.09      0.125     0.005     0.000     0.119     1000   Arel::Visitors::ToSql#visit_Arel_Nodes_SelectStatement 
