Thread ID: 18456180
Fiber ID: 52550820
Total: 4.060608
Sort by: self_time

 %self      total      self      wait     child     calls  name
  4.89      0.198     0.198     0.000     0.000   153000   Hash#[]= 
  2.06      0.084     0.084     0.000     0.000     8000   String#gsub! 
  1.97      0.731     0.080     0.000     0.652    83000  *Class#new 
  1.43      0.076     0.058     0.000     0.018    12000   <Class::Time>#now 
  1.40      0.057     0.057     0.000     0.000     1000   <Class::File>#join 
  1.37      3.955     0.055     0.000     3.900     1000   ActionDispatch::Integration::Session#process 
  1.36      0.055     0.055     0.000     0.000     8000   Array#flatten 
  1.29      0.052     0.052     0.000     0.000    11000   String#=~ 
  1.24      0.244     0.051     0.000     0.193    26000  *Hash#each 
  1.19      0.103     0.048     0.000     0.055     5000   URI::Generic#initialize 
  1.16      0.056     0.047     0.000     0.008    71001   Kernel#respond_to? 
  1.16      0.151     0.047     0.000     0.104     2000   ActiveSupport::Inflector#underscore 
  1.13      0.046     0.046     0.000     0.000    11000   Regexp#=== 
  0.99      0.069     0.040     0.000     0.029    78000   ActiveSupport::Notifications::Fanout::Subscribers::Evented#subscribed_to? 
  0.99      0.040     0.040     0.000     0.000    15000   String#split 
  0.88      0.086     0.036     0.000     0.050     1000   Rack::Request#cookies 
  0.86      2.160     0.035     0.000     2.125    46000  *Array#each 
  0.83      0.034     0.034     0.000     0.000    20001   Hash#initialize_copy 
  0.81      0.070     0.033     0.000     0.037    19000   Rack::Utils::HeaderHash#[]= 
  0.80      0.037     0.032     0.000     0.005     1000   ActiveSupport::MessageEncryptor#initialize 
  0.76      0.110     0.031     0.000     0.079     4000   Array#select 
  0.75      0.052     0.030     0.000     0.022    37000   ThreadSafe::Cache#[] 
  0.73      0.053     0.030     0.000     0.023    60000  *Kernel#public_send 
  0.66      0.027     0.027     0.000     0.000    41000   Thread#[] 
  0.66      0.056     0.027     0.000     0.029    20000   Array#map 
  0.66      0.071     0.027     0.000     0.044    31000   ActiveSupport::PerThreadRegistry#per_thread_registry_instance 
  0.65      0.027     0.027     0.000     0.000     1000   <Class::Dir>#[] 
  0.59      0.024     0.024     0.000     0.000   110000   String#to_s 
  0.59      0.024     0.024     0.000     0.000    62000   Kernel#is_a? 
  0.58      0.024     0.024     0.000     0.000     3000   IO#write 
  0.57      0.023     0.023     0.000     0.000    39000   ThreadSafe::NonConcurrentCacheBackend#[] 
  0.54      0.022     0.022     0.000     0.000     5000   String#% 
  0.51      0.021     0.021     0.000     0.000    42000   Module#name 
  0.49      0.059     0.020     0.000     0.039    22000   Kernel#dup 
  0.47      0.021     0.019     0.000     0.002     1000   Time#to_default_s 
  0.45      0.018     0.018     0.000     0.000     3000   Regexp#initialize 
  0.44      0.153     0.018     0.000     0.135     2000   ActionDispatch::Response#initialize 
  0.44      0.062     0.018     0.000     0.044     5000   URI::Parser#split 
  0.44      0.057     0.018     0.000     0.039    31001   Kernel#initialize_dup 
  0.42      0.017     0.017     0.000     0.000   135000   String#=== 
  0.40      0.035     0.016     0.000     0.018     9001   Hash#merge 
  0.40      0.036     0.016     0.000     0.019     2000   Array#reject! 
