Thread ID: 18456180
Fiber ID: 52550820
Total: 4.754696
Sort by: self_time

 %self      total      self      wait     child     calls  name
  2.73      0.931     0.130     0.000     0.801    92000  *Class#new 
  2.26      0.339     0.108     0.000     0.232    31000  *Hash#each 
  2.17      0.103     0.103     0.000     0.000   154000   Hash#[]= 
  1.52      0.124     0.072     0.000     0.052   130000   ActiveSupport::Notifications::Fanout::Subscribers::Evented#subscribed_to? 
  1.38      0.091     0.066     0.000     0.026    18000   <Class::Time>#now 
  1.32      0.063     0.063     0.000     0.000    18000   Hash#initialize 
  1.28      0.061     0.061     0.000     0.000     8000   Array#flatten 
  1.28      0.080     0.061     0.000     0.019     9001   Hash#merge 
  1.27      0.085     0.061     0.000     0.025     3000   ActiveSupport::TaggedLogging::Formatter#call 
  1.13      0.123     0.054     0.000     0.069    65000   ThreadSafe::Cache#[] 
  1.11      0.062     0.053     0.000     0.009    71001   Kernel#respond_to? 
  1.11      0.112     0.053     0.000     0.059     5000   URI::Generic#initialize 
  1.10      0.186     0.052     0.000     0.134     6000   Array#select 
  1.00      0.047     0.047     0.000     0.000    19000   String#split 
  0.98      0.069     0.047     0.000     0.023    65000   ThreadSafe::NonConcurrentCacheBackend#[] 
  0.96      0.046     0.046     0.000     0.000    11000   Regexp#=== 
  0.94      0.045     0.045     0.000     0.000    10000   String#=~ 
  0.90      0.137     0.043     0.000     0.094     9000   Kernel#tap 
  0.80      2.609     0.038     0.000     2.571    62000  *Array#each 
  0.79      0.038     0.038     0.000     0.000   166000   String#to_s 
  0.74      0.069     0.035     0.000     0.034    26000   Array#map 
  0.73      0.075     0.035     0.000     0.040    19000   Rack::Utils::HeaderHash#[]= 
  0.68      0.132     0.032     0.000     0.100     1000   JbuilderController#_layout 
  0.67      3.022     0.032     0.000     2.991     1000   ActiveRecord::ConnectionAdapters::ConnectionManagement#call 
  0.64      0.031     0.031     0.000     0.000    20001   Hash#initialize_copy 
  0.64      0.080     0.031     0.000     0.049    32000   ActiveSupport::PerThreadRegistry#per_thread_registry_instance 
  0.64      0.030     0.030     0.000     0.000    42000   Thread#[] 
  0.63      4.641     0.030     0.000     4.611     1000   ActionDispatch::Integration::Session#process 
  0.62      0.029     0.029     0.000     0.000   187000   String#=== 
  0.61      0.029     0.029     0.000     0.000    72000   Kernel#is_a? 
  0.58      0.063     0.027     0.000     0.035     1000   ActiveSupport::Inflector#underscore 
  0.56      0.047     0.027     0.000     0.020    41000  *Kernel#public_send 
  0.56      0.027     0.027     0.000     0.000     3000   IO#write 
  0.55      0.026     0.026     0.000     0.000     1000   <Class::Dir>#[] 
  0.51      0.024     0.024     0.000     0.000     5000   String#% 
  0.49      0.023     0.023     0.000     0.000     4000   String#gsub! 
  0.45      0.021     0.021     0.000     0.000     3000   Regexp#initialize 
  0.44      0.023     0.021     0.000     0.002     1000   Time#to_default_s 
  0.43      0.139     0.020     0.000     0.119     2000   ActionDispatch::Response#initialize 
  0.43      0.020     0.020     0.000     0.000    40000   Module#name 
  0.42      0.063     0.020     0.000     0.043     5000   URI::Parser#split 
  0.40      0.259     0.019     0.000     0.240    14000   ActiveSupport::Notifications::Fanout#listeners_for 
  0.40      0.026     0.019     0.000     0.007    18000   Time#initialize 
  0.39      0.053     0.019     0.000     0.035    19000   Kernel#dup 
  0.38      0.053     0.018     0.000     0.035    28001   Kernel#initialize_dup 
  0.38      0.018     0.018     0.000     0.000    44000   Module#=== 
  0.37      0.111     0.018     0.000     0.093     3000  *<Class::Rack::MockRequest>#env_for 
  0.37      0.038     0.017     0.000     0.020     2000   Array#reject! 
  0.36      0.017     0.017     0.000     0.000    23001   Symbol#to_s 
  0.35      0.017     0.017     0.000     0.000    31000   String#downcase 
  0.34      0.021     0.016     0.000     0.005    10000  *Array#join 
  0.34      0.046     0.016     0.000     0.030     6000   ActionDispatch::Request#initialize 
  0.33      0.016     0.016     0.000     0.000    59000   <Class::Thread>#current 
  0.31      0.020     0.015     0.000     0.005    51000   ActiveSupport::Notifications::Fanout::Subscribers::Evented#matches? 
  0.31      0.027     0.015     0.000     0.012     3000  *URI::Generic#to_s 
  0.30      0.028     0.014     0.000     0.014    17000   Enumerable#any? 
  0.29      0.015     0.014     0.000     0.002    42000   String#== 
  0.28      0.254     0.013     0.000     0.240    20000  *Mutex#synchronize 
  0.28      0.013     0.013     0.000     0.000     6000   MatchData#[] 
  0.27      0.013     0.013     0.000     0.000     5000   Hash#merge! 
  0.27      0.013     0.013     0.000     0.000     8000   String#gsub 
  0.26      0.078     0.013     0.000     0.065     5000   MonitorMixin#mon_synchronize 
  0.24      0.207     0.012     0.000     0.196     5000   URI::Parser#parse 
  0.24      0.045     0.012     0.000     0.033     1000   Rack::Utils#parse_query 
  0.24      0.172     0.011     0.000     0.160     3000   Logger#add 
  0.23      0.026     0.011     0.000     0.015     7000  *Rack::BodyProxy#respond_to? 
  0.23      0.031     0.011     0.000     0.020     4000   ActionView::LookupContext::ViewPaths#normalize_name 
  0.23      0.035     0.011     0.000     0.024    11000   Object#present? 
  0.23      0.013     0.011     0.000     0.002     3000   Array#collect 
  0.23      0.011     0.011     0.000     0.000    48001   Kernel#respond_to_missing? 
  0.23      0.031     0.011     0.000     0.020     1000   URI::Generic#merge_path 
  0.23      0.011     0.011     0.000     0.000    35000   Kernel#class 
  0.22      0.023     0.011     0.000     0.012     3000   <Module::ActiveSupport::JSON::Encoding>#escape 
  0.22      4.013     0.011     0.000     4.002     1000   Rack::MockSession#request 
  0.22      0.021     0.011     0.000     0.010     3000   Time#minus_without_duration 
  0.22      0.017     0.010     0.000     0.006     5000   MonitorMixin#mon_enter 
  0.22      4.675     0.010     0.000     4.664     1000   ActiveSupport::Testing::Performance::Metrics::Base#profile 
  0.22      0.018     0.010     0.000     0.008     5000   MonitorMixin#mon_exit 
  0.22      0.019     0.010     0.000     0.009     8000   Array#include? 
  0.21      1.348     0.010     0.000     1.338     1000   JbuilderController#_run__730444837207479287__process_action__callbacks 
  0.21      0.201     0.010     0.000     0.191     1000   Rack::Test::Session#env_for 
  0.21      0.052     0.010     0.000     0.042     1000   Rack::Request#POST 
  0.21      0.067     0.010     0.000     0.057     5000   ActiveSupport::JSON::Encoding::Encoder#options_for 
  0.20      0.021     0.010     0.000     0.011     6000   ActionDispatch::Http::FilterParameters#initialize 
  0.20      0.013     0.010     0.000     0.003     5000   URI::Generic#set_userinfo 
  0.20      0.011     0.009     0.000     0.001     3000   ActiveSupport::Logger::SimpleFormatter#call 
  0.19      0.096     0.009     0.000     0.087     3000  *ActionController::LogSubscriber#process_action 
  0.19      0.030     0.009     0.000     0.021     6000   ActionDispatch::Http::URL#initialize 
  0.19      0.011     0.009     0.000     0.002     6000   Array#== 
  0.19      0.055     0.009     0.000     0.046     1000   Rack::Test::Cookie#valid? 
  0.19      0.013     0.009     0.000     0.004     7000   URI::Generic#set_port 
  0.19      0.013     0.009     0.000     0.004     2000   ActionDispatch::Http::MimeNegotiation#content_mime_type 
  0.19      0.196     0.009     0.000     0.188     2000   ActiveSupport::Subscriber#finish 
  0.18      0.158     0.009     0.000     0.150     1000   Rack::Response#initialize 
  0.18      1.709     0.009     0.000     1.700     4000  *ActiveSupport::Notifications::Instrumenter#instrument 
  0.18      0.009     0.009     0.000     0.000    18000   Hash#delete 
  0.18      0.096     0.008     0.000     0.087     1000   ActionDispatch::Journey::GTG::Simulator#simulate 
  0.18      0.010     0.008     0.000     0.002     7000   Array#hash 
  0.17      0.019     0.008     0.000     0.011    19000  *Hash#[] 
  0.17      0.058     0.008     0.000     0.050     2000   Array#map! 
  0.17      0.024     0.008     0.000     0.016    10000   <Class::ActionController::Base>#logger 
  0.17      0.048     0.008     0.000     0.040     4000   ActionView::Resolver::Cache#cache 
  0.17      0.008     0.008     0.000     0.000    16000   Hash#include? 
  0.17      0.008     0.008     0.000     0.000     7000   StringScanner#scan 
  0.17      0.125     0.008     0.000     0.117     1000   URI::Generic#merge 
  0.16      0.008     0.008     0.000     0.000    24000   Array#first 
  0.16      0.061     0.008     0.000     0.054     1000   Rack::Request#cookies 
  0.16      0.008     0.008     0.000     0.000     2000   Array#- 
  0.16      0.007     0.007     0.000     0.000    11000   Fixnum#to_default_s 
  0.16      2.100     0.007     0.000     2.093     1000   ActionController::Instrumentation#process_action 
  0.16      0.023     0.007     0.000     0.015     8000   Set#add? 
  0.15      0.183     0.007     0.000     0.176     7000   Hash#fetch 
  0.15      3.649     0.007     0.000     3.642     2000  *Rails::Engine#call 
  0.15      0.143     0.007     0.000     0.136    12000  *Enumerable#map 
  0.15      0.007     0.007     0.000     0.000     1000   <Module::OpenSSL::Random>#random_bytes 
  0.15      2.781     0.007     0.000     2.774     1000   Rack::ETag#call 
  0.14      0.007     0.007     0.000     0.000    12000   String#force_encoding 
  0.14      3.348     0.007     0.000     3.341     1000   Rails::Rack::Logger#call_app 
  0.14      0.014     0.007     0.000     0.007     8000   URI::Generic#default_port 
  0.14      0.007     0.007     0.000     0.000    18000   Fixnum#+ 
  0.14      0.039     0.007     0.000     0.032     6000   ActionDispatch::Journey::GTG::TransitionTable#move_regexp 
  0.14      0.025     0.007     0.000     0.018     3000   ActionDispatch::Response#body= 
  0.14      0.007     0.007     0.000     0.000    19000   Hash#key? 
  0.14      2.424     0.007     0.000     2.418     9000  *Proc#call 
  0.14      0.337     0.007     0.000     0.331     1000   ActionView::CompiledTemplates#_app_views_jbuilder_sample__json_jbuilder___1252806264553723702_40014460 
  0.14      2.240     0.007     0.000     2.233     1000   AbstractController::Rendering#process 
  0.14      0.010     0.007     0.000     0.004    10000   #<Class:0x0000000500e628>#logger 
  0.14      0.066     0.007     0.000     0.060     1000   ActionController::LogSubscriber#start_processing 
  0.14      0.019     0.007     0.000     0.012     3000   Hash#each_pair 
  0.14      0.064     0.007     0.000     0.057     4000   ActionView::LookupContext::ViewPaths#args_for_lookup 
  0.14      0.035     0.006     0.000     0.028     6000   ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool 
  0.14      0.065     0.006     0.000     0.059     6000   ActionDispatch::Journey::GTG::TransitionTable#move 
  0.13      1.045     0.006     0.000     1.038     1000   ActiveRecord::Railties::ControllerRuntime#cleanup_view_runtime 
  0.13      0.029     0.006     0.000     0.023     6000   ActiveSupport::HashWithIndifferentAccess#update 
  0.13      0.006     0.006     0.000     0.000    14000   Array#compact 
  0.13      0.006     0.006     0.000     0.000    11000   ActiveSupport::Configurable::ClassMethods#config 
  0.13      0.006     0.006     0.000     0.000    22000   Kernel#block_given? 
  0.13      0.019     0.006     0.000     0.013     4000   ActiveSupport::HashWithIndifferentAccess#initialize 
  0.13      0.011     0.006     0.000     0.005     6000   ActionDispatch::Http::Parameters#initialize 
  0.13      0.165     0.006     0.000     0.158     3000   ActionDispatch::Http::Parameters#parameters 
  0.13      0.057     0.006     0.000     0.051     4000   ActionView::Resolver#cached 
  0.13      0.957     0.006     0.000     0.951     1000   ActionController::Rendering#render 
  0.13      0.007     0.006     0.000     0.001     1000   ActionController::Metal#initialize 
  0.13      0.006     0.006     0.000     0.000     4000   <Class::Hash>#[] 
  0.13      0.008     0.006     0.000     0.002     5000   Rack::Request#path_info 
  0.13      0.017     0.006     0.000     0.011     1000   ActionDispatch::Response#assign_default_content_type_and_charset! 
  0.13      0.014     0.006     0.000     0.008     3000   ActiveSupport::InheritableOptions#initialize 
  0.13      0.021     0.006     0.000     0.015     1000   Rack::Request#ip 
  0.13      0.030     0.006     0.000     0.024    10000   ActionController::LogSubscriber#logger 
  0.12      0.009     0.006     0.000     0.003     4000   ActionDispatch::Request#request_method 
  0.12      0.054     0.006     0.000     0.048     1000   ActionDispatch::FileHandler#match? 
  0.12      0.006     0.006     0.000     0.000    15000   Kernel#kind_of? 
  0.12      0.009     0.006     0.000     0.003     2000   <Module::URI>#decode_www_form_component 
  0.12      0.065     0.006     0.000     0.059     8000  *AbstractController::ViewPaths#lookup_context 
  0.12      3.111     0.006     0.000     3.105     4000  *ActiveSupport::Callbacks#run_callbacks 
  0.12      0.011     0.006     0.000     0.005     4000   Rack::Utils::HeaderHash#[] 
  0.12      0.006     0.006     0.000     0.000    52000   Kernel#=== 
  0.12      0.008     0.006     0.000     0.002     1000   Enumerable#sort_by 
  0.12      0.006     0.006     0.000     0.000     2000   Regexp#=~ 
  0.12      0.045     0.006     0.000     0.039     4000   <Class::ActiveRecord::LogSubscriber>#reset_runtime 
  0.12      0.010     0.006     0.000     0.004    10000   Set#include? 
  0.12      0.006     0.006     0.000     0.000     7000   Rack::Request#initialize 
  0.12      0.019     0.006     0.000     0.014     1000   ActionController::TemplateAssertions#setup_subscriptions 
  0.12      0.009     0.005     0.000     0.003     5000   Kernel#Array 
  0.12      0.005     0.005     0.000     0.000    10000   String#upcase 
  0.11      0.017     0.005     0.000     0.011     6000   ActiveRecord::ConnectionAdapters::ConnectionHandler#class_to_pool 
  0.11      0.012     0.005     0.000     0.006     2000   Hash#hash 
  0.11      0.251     0.005     0.000     0.246     1000   ActionDispatch::Journey::Router#find_routes 
  0.11      0.008     0.005     0.000     0.003     6000   ActionDispatch::Response#[] 
  0.11      0.005     0.005     0.000     0.000     4000   Symbol#[] 
  0.11      0.012     0.005     0.000     0.007     2000   ActiveSupport::Notifications::Event#initialize 
  0.11      0.005     0.005     0.000     0.000     3000   String#encode 
  0.11      0.778     0.005     0.000     0.773     1000   ActionView::TemplateRenderer#render 
  0.11      0.010     0.005     0.000     0.005     6000   ActiveSupport::TaggedLogging::Formatter#current_tags 
  0.11      0.016     0.005     0.000     0.010     3000   Object#try 
  0.11      0.034     0.005     0.000     0.029    18000  *<Class::ActiveRecord::Base>#connection_handler 
  0.11      0.013     0.005     0.000     0.008     1000   <Module::SecureRandom>#random_bytes 
  0.11      0.058     0.005     0.000     0.053     1000   ActiveSupport::TaggedLogging::Formatter#push_tags 
  0.11      0.008     0.005     0.000     0.003     8000   Set#add 
  0.11      0.008     0.005     0.000     0.003     8000   Set#delete 
  0.11      0.051     0.005     0.000     0.046     2000   ActionDispatch::Routing::UrlFor#initialize 
  0.11      0.005     0.005     0.000     0.000    11000   Kernel#nil? 
  0.11      0.018     0.005     0.000     0.013     6000   ActionDispatch::Journey::GTG::TransitionTable#move_string 
  0.11      0.078     0.005     0.000     0.073     4000   ActionView::PathSet#find_all 
  0.10      0.020     0.005     0.000     0.015     1000   <Class::MultiJson::Adapter>#cache 
  0.10      0.009     0.005     0.000     0.004     5000   ActiveSupport::HashWithIndifferentAccess#convert_key 
  0.10      1.081     0.005     0.000     1.076     1000   ActionController::Rendering#process_action 
  0.10      0.029     0.005     0.000     0.024     1000   <Module::SecureRandom>#uuid 
  0.10      0.023     0.005     0.000     0.018     2000   ActionView::LookupContext#formats= 
  0.10      0.005     0.005     0.000     0.001     7000   Array#eql? 
  0.10      0.005     0.005     0.000     0.000     5000   Kernel#instance_variable_set 
  0.10      0.040     0.005     0.000     0.035     2000   Rack::Utils::HeaderHash#initialize 
  0.10      3.541     0.005     0.000     3.537     1000   Rack::Runtime#call 
  0.10      0.027     0.005     0.000     0.022     2000   ActionDispatch::Http::MimeNegotiation#formats 
  0.10      0.055     0.005     0.000     0.050     4000   ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection 
  0.10      0.679     0.005     0.000     0.674     1000   ActionView::TemplateRenderer#render_with_layout 
  0.10      0.007     0.005     0.000     0.003     6000   URI::Generic#set_scheme 
  0.10      0.005     0.005     0.000     0.000     8000   <Class::URI::Generic>#default_port 
  0.10      0.005     0.005     0.000     0.000     4000   String#to_i 
  0.10      4.661     0.005     0.000     4.656     1000   JsonTestTest#test_jbuilder_sample2 
  0.10      0.020     0.005     0.000     0.015     4000   ActiveSupport::Callbacks::ClassMethods#__define_callbacks 
  0.10      0.015     0.005     0.000     0.010     4000   ActiveSupport::HashWithIndifferentAccess#default 
  0.10      0.009     0.005     0.000     0.005    14000  *ActiveSupport::OrderedOptions#_get 
  0.10      0.005     0.005     0.000     0.000     2000   Regexp#match 
  0.10      0.006     0.005     0.000     0.001     5000   Rack::Request#query_string 
  0.10      0.006     0.005     0.000     0.001     1000   <Class::ActionDispatch::Cookies::CookieJar>#options_for_env 
  0.10      0.247     0.005     0.000     0.242     5000   ActiveSupport::Notifications::Fanout#finish 
  0.10      0.042     0.005     0.000     0.038     2000   ActionDispatch::Http::Cache::Response#prepare_cache_control! 
  0.10      0.005     0.005     0.000     0.000     4000   ActionDispatch::Request#check_method 
  0.10      0.049     0.005     0.000     0.044     2000   ActiveSupport::Subscriber#start 
  0.10      0.005     0.005     0.000     0.000    17000   Kernel#hash 
  0.09      0.007     0.005     0.000     0.002     2000   Hash#each_key 
  0.09      0.070     0.005     0.000     0.066     1000   ActionView::TemplateRenderer#determine_template 
  0.09      0.137     0.004     0.000     0.133     5000   ActiveSupport::Notifications::Fanout#start 
  0.09      0.004     0.004     0.000     0.000     6000   ActiveSupport::SubscriberQueueRegistry#get_queue 
  0.09      0.099     0.004     0.000     0.095     1000   <Class::ActionDispatch::Cookies::CookieJar>#build 
  0.09      0.194     0.004     0.000     0.190     8000  *ActiveSupport::JSON::Encoding::Encoder#check_for_circular_references 
  0.09      3.669     0.004     0.000     3.665     1000   Rails::Application#call 
  0.09      0.010     0.004     0.000     0.005     5000   Object#presence 
  0.09      0.006     0.004     0.000     0.002     6000   URI::Generic#userinfo 
  0.09      0.258     0.004     0.000     0.254    10000   Mutex_m#mu_synchronize 
  0.09      0.039     0.004     0.000     0.035     3000   Time#minus_with_coercion 
  0.09      0.010     0.004     0.000     0.005     1000   ActiveSupport::MessageEncryptor#initialize 
  0.09      0.004     0.004     0.000     0.000    10000   Array#pop 
  0.09      1.831     0.004     0.000     1.827     4000  *<Module::ActiveSupport::Notifications>#instrument 
  0.09      0.019     0.004     0.000     0.015     1000   Rack::ETag#digest_body 
  0.09      0.004     0.004     0.000     0.000     1000   Rack::Request#scheme 
  0.09      0.028     0.004     0.000     0.024     2000   Rack::Utils#parse_nested_query 
  0.09      0.004     0.004     0.000     0.000     2000   Array#& 
  0.09      2.988     0.004     0.000     2.983     1000   ActiveRecord::QueryCache#call 
  0.09      2.932     0.004     0.000     2.928     1000   ActionDispatch::Cookies#call 
  0.09      3.625     0.004     0.000     3.620     1000   ActionDispatch::Static#call 
  0.09      0.009     0.004     0.000     0.005     1000   ActionDispatch::Cookies::CookieJar#[]= 
  0.09      0.045     0.004     0.000     0.041     1000   URI::Generic#merge0 
  0.09      0.982     0.004     0.000     0.978     1000   Benchmark#realtime 
  0.09      0.006     0.004     0.000     0.001     5000   MonitorMixin#mon_check_owner 
  0.09      0.057     0.004     0.000     0.053     3000  *Hash#as_json 
  0.09      0.009     0.004     0.000     0.005     1000   AbstractController::Rendering#_normalize_options 
  0.09      0.005     0.004     0.000     0.001     2000   URI::Generic#normalize! 
