Thread ID: 18456180
Fiber ID: 52550820
Total: 4.166524
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.20      0.705     0.008     0.000     0.697     3001  *Hash#each_key 
  0.20      0.019     0.008     0.000     0.011     6000   ActionDispatch::Http::FilterParameters#initialize 
  0.19      0.018     0.008     0.000     0.010    22000  *Hash#[] 
  0.19      0.008     0.008     0.000     0.000     7000   StringScanner#scan 
  0.19      0.083     0.008     0.000     0.075     3000  *ActionController::LogSubscriber#process_action 
  0.19      0.085     0.008     0.000     0.077     2000  *<Class::ActiveModel::Serializer>#build_json 
  0.19      1.510     0.008     0.000     1.503     3000  *ActiveSupport::Notifications::Instrumenter#instrument 
  0.19      0.011     0.008     0.000     0.004     2000   ActionDispatch::Http::MimeNegotiation#content_mime_type 
  0.19      0.011     0.008     0.000     0.003     7000   URI::Generic#set_port 
  0.19      0.028     0.008     0.000     0.020     6000   ActiveSupport::HashWithIndifferentAccess#update 
  0.19      0.139     0.008     0.000     0.132     1000   Rack::Response#initialize 
  0.19      0.027     0.008     0.000     0.019     6000   ActionDispatch::Http::URL#initialize 
  0.18      0.054     0.008     0.000     0.046     2000   Array#map! 
  0.18      0.085     0.007     0.000     0.077     1000   ActionDispatch::Journey::GTG::Simulator#simulate 
  0.18      0.117     0.007     0.000     0.109     1000   URI::Generic#merge 
  0.17      0.054     0.007     0.000     0.046     2000  *ActionController::UrlFor#url_options 
  0.17      0.007     0.007     0.000     0.000     5000   String#gsub 
  0.17      0.014     0.007     0.000     0.007     2000   Array#initialize 
  0.17      0.011     0.007     0.000     0.004     6000   ActionDispatch::Http::Parameters#initialize 
  0.17      0.016     0.007     0.000     0.009     3000   ActiveSupport::Notifications::Event#initialize 
  0.16      0.021     0.007     0.000     0.014    10000   <Class::ActionController::Base>#logger 
  0.16      0.054     0.007     0.000     0.047     1000   Rack::Request#cookies 
  0.16      0.026     0.007     0.000     0.019     7000   Object#present? 
  0.16      1.900     0.007     0.000     1.893     1000   ActionController::Instrumentation#process_action 
  0.16      0.036     0.007     0.000     0.030     7000   ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool 
  0.16      0.013     0.007     0.000     0.007     8000   URI::Generic#default_port 
  0.16      0.007     0.007     0.000     0.000     2000   Rack::Request#scheme 
  0.16      0.542     0.006     0.000     0.536     1000   ActiveRecord::Relation#exec_queries 
  0.15      3.133     0.006     0.000     3.127     2000  *Rails::Engine#call 
  0.15      0.024     0.006     0.000     0.018     3000   ActiveSupport::TaggedLogging::Formatter#call 
  0.15      0.037     0.006     0.000     0.030     1000   Arel::Visitors::ToSql#visit_Arel_Nodes_SelectCore 
  0.15      0.006     0.006     0.000     0.000     1000   <Module::OpenSSL::Random>#random_bytes 
  0.15      0.006     0.006     0.000     0.000     8000   Kernel#instance_variable_defined? 
  0.15      0.032     0.006     0.000     0.026     8000   Enumerable#map 
  0.15      0.034     0.006     0.000     0.028     6000   ActionDispatch::Journey::GTG::TransitionTable#move_regexp 
  0.15      2.894     0.006     0.000     2.888     1000   Rails::Rack::Logger#call_app 
  0.14      0.008     0.006     0.000     0.002     4000   Array#== 
  0.14      2.500     0.006     0.000     2.494     1000   Rack::ETag#call 
  0.14      0.064     0.006     0.000     0.058     3000   ActiveSupport::Subscriber#start 
  0.14      0.006     0.006     0.000     0.000    16000   Fixnum#+ 
  0.14      0.006     0.006     0.000     0.000    15000   Array#compact 
  0.14      0.007     0.006     0.000     0.002     1000   Enumerable#sort_by 
  0.14      2.181     0.006     0.000     2.176     5000   Proc#call 
  0.14      0.050     0.006     0.000     0.044     1000   ActionDispatch::FileHandler#match? 
  0.14      0.006     0.006     0.000     0.000     9000   ActiveSupport::SubscriberQueueRegistry#get_queue 
  0.14      0.006     0.006     0.000     0.000    11044   Hash#delete 
  0.14      0.017     0.006     0.000     0.011     3000   Hash#each_pair 
  0.14      0.036     0.006     0.000     0.030    21000  *<Class::ActiveRecord::Base>#connection_handler 
  0.14      0.009     0.006     0.000     0.003    10000   #<Class:0x0000000500e628>#logger 
  0.14      0.096     0.006     0.000     0.090     1000   ActionController::LogSubscriber#start_processing 
  0.14      0.046     0.006     0.000     0.040    18000  *ActiveSupport::Subscriber#event_stack 
  0.14      0.019     0.006     0.000     0.014     4000   ActiveSupport::Callbacks::ClassMethods#__define_callbacks 
  0.14      0.006     0.006     0.000     0.000    21000   Kernel#block_given? 
  0.13      0.058     0.006     0.000     0.052     6000   ActionDispatch::Journey::GTG::TransitionTable#move 
  0.13      0.006     0.006     0.000     0.000    11000   ActiveSupport::Configurable::ClassMethods#config 
  0.13      0.185     0.006     0.000     0.180     3000   ActionDispatch::Http::Parameters#parameters 
  0.13      2.027     0.006     0.000     2.022     1000   AbstractController::Rendering#process 
  0.13      0.014     0.006     0.000     0.009     1000   ActionDispatch::Response#assign_default_content_type_and_charset! 
  0.13      0.006     0.006     0.000     0.000     2000   String#sub 
  0.13      0.017     0.005     0.000     0.012     7000   ActiveRecord::ConnectionAdapters::ConnectionHandler#class_to_pool 
  0.13      0.018     0.005     0.000     0.013     1000   Rack::Request#ip 
  0.13      0.056     0.005     0.000     0.051     4000   ActiveSupport::HashWithIndifferentAccess#initialize 
  0.13      0.007     0.005     0.000     0.001     5000   Rack::Request#path_info 
  0.13      0.006     0.005     0.000     0.000    52000   Kernel#=== 
  0.13      0.124     0.005     0.000     0.118     1000   <Class::ActionDispatch::Cookies::CookieJar>#build 
  0.13      0.006     0.005     0.000     0.001     3000   ActiveSupport::Logger::SimpleFormatter#call 
  0.13      0.006     0.005     0.000     0.000     1000   ActionController::Metal#initialize 
  0.13      0.443     0.005     0.000     0.437     1000   ActiveRecord::Querying#find_by_sql 
  0.13      0.020     0.005     0.000     0.015     3000   ActionDispatch::Response#body= 
  0.13      0.043     0.005     0.000     0.038     4000   Time#minus_with_coercion 
