Thread ID: 18456180
Fiber ID: 52550820
Total: 4.894516
Sort by: self_time

 %self      total      self      wait     child     calls  name
  2.81      0.140     0.138     0.000     0.002   152000   Hash#[]= 
  2.49      0.122     0.122     0.000     0.000    19001   Hash#initialize_copy 
  2.05      0.984     0.100     0.000     0.884    93000  *Class#new 
  1.76      0.086     0.086     0.000     0.000    58000   Module#name 
  1.59      0.175     0.078     0.000     0.097     2000   ActiveSupport::Inflector#underscore 
  1.54      0.075     0.075     0.000     0.000     8000   String#gsub! 
  1.53      0.075     0.075     0.000     0.000     1000   SQLite3::Statement#initialize 
  1.14      0.066     0.056     0.000     0.010    78001   Kernel#respond_to? 
  1.13      0.095     0.055     0.000     0.040   104000   ActiveSupport::Notifications::Fanout::Subscribers::Evented#subscribed_to? 
  1.12      0.055     0.055     0.000     0.000    11000   String#=~ 
  1.05      0.198     0.051     0.000     0.146    23000   Hash#each 
  1.04      0.109     0.051     0.000     0.058     5000   URI::Generic#initialize 
  0.98      0.048     0.048     0.000     0.000     4000   <Class::Proc>#new 
  0.95      0.046     0.046     0.000     0.000    11000   Regexp#=== 
  0.89      0.044     0.044     0.000     0.000    16000   String#split 
  0.85      0.147     0.042     0.000     0.105     6000   Array#select 
  0.81      0.132     0.040     0.000     0.092    44000   ActiveSupport::PerThreadRegistry#per_thread_registry_instance 
  0.79      2.931     0.039     0.000     2.892    65000  *Array#each 
  0.79      0.067     0.038     0.000     0.028    46000   ThreadSafe::Cache#[] 
  0.76      0.080     0.037     0.000     0.042    26000   Array#map 
  0.74      0.036     0.036     0.000     0.000    54000   Thread#[] 
  0.73      0.069     0.036     0.000     0.033    69000  *Kernel#public_send 
  0.71      0.049     0.035     0.000     0.014     1000   Rack::Request#ip 
  0.68      0.112     0.033     0.000     0.078    19000   Rack::Utils::HeaderHash#[]= 
  0.66      0.033     0.033     0.000     0.000     9000   Array#uniq 
  0.65      0.032     0.032     0.000     0.000    48000   ThreadSafe::NonConcurrentCacheBackend#[] 
  0.62      0.038     0.030     0.000     0.008     1000   <Class::Digest::Class>#hexdigest 
  0.61      0.032     0.030     0.000     0.002     1000   SQLite3::Statement#step 
  0.60      0.029     0.029     0.000     0.000   133000   String#to_s 
  0.59      4.780     0.029     0.000     4.752     1000   ActionDispatch::Integration::Session#process 
  0.55      0.027     0.027     0.000     0.000    66000   Kernel#is_a? 
  0.54      0.026     0.026     0.000     0.000     1000   <Class::Dir>#[] 
  0.52      0.026     0.026     0.000     0.000     3000   IO#write 
  0.52      0.120     0.025     0.000     0.094    32000  *Kernel#dup 
  0.51      0.160     0.025     0.000     0.135    41001  *Kernel#initialize_dup 
  0.48      0.023     0.023     0.000     0.000     5000   String#% 
  0.47      0.023     0.023     0.000     0.000   161000   String#=== 
  0.42      0.023     0.021     0.000     0.002     1000   Time#to_default_s 
  0.40      0.019     0.019     0.000     0.000    49000   Module#=== 
  0.40      0.180     0.019     0.000     0.160     2000   ActionDispatch::Response#initialize 
  0.38      0.019     0.019     0.000     0.000     3000   Regexp#initialize 
  0.38      0.063     0.018     0.000     0.045     5000   URI::Parser#split 
  0.37      0.018     0.018     0.000     0.000    71000   <Class::Thread>#current 
  0.35      0.031     0.017     0.000     0.014    23000   Enumerable#any? 
  0.35      0.017     0.017     0.000     0.000    63000   Kernel#class 
  0.34      0.106     0.017     0.000     0.089     3000  *<Class::Rack::MockRequest>#env_for 
  0.34      0.082     0.016     0.000     0.066     9001   Hash#merge 
  0.34      0.036     0.016     0.000     0.019     2000   Array#reject! 
  0.32      0.016     0.016     0.000     0.000     3000   <Class::ActiveRecord::Base>#logger 
  0.31      0.015     0.015     0.000     0.000    31000   String#downcase 
  0.31      0.111     0.015     0.000     0.096    10000   Kernel#tap 
  0.31      0.197     0.015     0.000     0.182    10000   ActiveSupport::Notifications::Fanout#listeners_for 
  0.31      0.042     0.015     0.000     0.027     6000   ActionDispatch::Request#initialize 
  0.29      0.026     0.014     0.000     0.011     3000  *URI::Generic#to_s 
  0.29      0.016     0.014     0.000     0.002    42000   String#== 
  0.29      0.019     0.014     0.000     0.005    51000   ActiveSupport::Notifications::Fanout::Subscribers::Evented#matches? 
  0.29      0.033     0.014     0.000     0.019    14000   <Class::Time>#now 
  0.29      0.014     0.014     0.000     0.000     8000   Array#flatten 
  0.28      0.014     0.014     0.000     0.000     6000   Hash#merge! 
  0.28      0.019     0.014     0.000     0.006    14000   Time#initialize 
  0.28      0.014     0.014     0.000     0.000    20001   Symbol#to_s 
  0.27      0.148     0.013     0.000     0.135     1000   ActiveRecord::QueryMethods#build_arel 
  0.27      0.013     0.013     0.000     0.000     6000   MatchData#[] 
  0.27      0.026     0.013     0.000     0.013     4000   Time#minus_without_duration 
  0.27      0.246     0.013     0.000     0.233     3000   ActiveSupport::Subscriber#finish 
  0.25      0.021     0.012     0.000     0.009    13000   Array#include? 
  0.25      0.076     0.012     0.000     0.063     5000   MonitorMixin#mon_synchronize 
  0.25      0.012     0.012     0.000     0.000    53001   Kernel#respond_to_missing? 
  0.23      0.011     0.011     0.000     0.000     8000   Array#join 
  0.23      0.202     0.011     0.000     0.191    18000  *Mutex#synchronize 
  0.23      0.203     0.011     0.000     0.192     5000   URI::Parser#parse 
  0.22      0.110     0.011     0.000     0.099     3000   Logger#add 
  0.21      0.017     0.011     0.000     0.006     5000   MonitorMixin#mon_enter 
  0.21      0.031     0.010     0.000     0.020     1000   URI::Generic#merge_path 
  0.21      0.042     0.010     0.000     0.032     1000   Rack::Utils#parse_query 
  0.21      4.172     0.010     0.000     4.161     1000   Rack::MockSession#request 
  0.21      0.012     0.010     0.000     0.002     3000   Array#collect 
  0.21      0.025     0.010     0.000     0.015     7000  *Rack::BodyProxy#respond_to? 
  0.21      4.816     0.010     0.000     4.806     1000   ActiveSupport::Testing::Performance::Metrics::Base#profile 
  0.21      1.624     0.010     0.000     1.613     1000   ActiveModelSerializersController#_run__258666716492909949__process_action__callbacks 
  0.21      0.051     0.010     0.000     0.040     1000   Rack::Request#POST 
  0.20      0.010     0.010     0.000     0.000     3000   String#sub 
  0.20      0.193     0.010     0.000     0.183     1000   Rack::Test::Session#env_for 
  0.19      0.017     0.009     0.000     0.008     5000   MonitorMixin#mon_exit 
  0.19      0.012     0.009     0.000     0.003     5000   URI::Generic#set_userinfo 
  0.19      0.009     0.009     0.000     0.000    12000   Hash#initialize 
  0.19      0.095     0.009     0.000     0.085     3000  *ActionController::LogSubscriber#process_action 
  0.18      0.277     0.009     0.000     0.268     3000  *Hash#each_key 
  0.18      0.009     0.009     0.000     0.000    11000   Kernel#instance_variable_defined? 
  0.18      0.019     0.009     0.000     0.010     6000   ActionDispatch::Http::FilterParameters#initialize 
  0.18      0.535     0.009     0.000     0.526     1000   ActiveRecord::Querying#find_by_sql 
  0.18      0.051     0.009     0.000     0.042     1000   Rack::Test::Cookie#valid? 
  0.18      1.968     0.009     0.000     1.959     3000  *ActiveSupport::Notifications::Instrumenter#instrument 
  0.17      0.019     0.009     0.000     0.010    22000  *Hash#[] 
  0.17      0.107     0.008     0.000     0.099     1000   Rack::Response#initialize 
  0.17      0.012     0.008     0.000     0.004     2000   ActionDispatch::Http::MimeNegotiation#content_mime_type 
  0.17      0.012     0.008     0.000     0.004     7000   URI::Generic#set_port 
  0.17      0.027     0.008     0.000     0.019     6000   ActionDispatch::Http::URL#initialize 
  0.17      0.057     0.008     0.000     0.049     3000   Array#map! 
  0.17      0.008     0.008     0.000     0.000     7000   StringScanner#scan 
  0.17      0.090     0.008     0.000     0.082     1000   ActionDispatch::Journey::GTG::Simulator#simulate 
  0.16      0.059     0.008     0.000     0.051     2000  *ActionController::UrlFor#url_options 
  0.16      0.073     0.008     0.000     0.065     8000   ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool 
  0.16      0.015     0.008     0.000     0.007     2000   Array#initialize 
  0.16      0.024     0.008     0.000     0.016    10000   <Class::ActionController::Base>#logger 
  0.16      0.123     0.008     0.000     0.115     1000   URI::Generic#merge 
  0.16      0.047     0.008     0.000     0.039     1000   Arel::Visitors::ToSql#visit_Arel_Nodes_SelectCore 
  0.16      0.027     0.008     0.000     0.019     7000   Object#present? 
  0.15      2.346     0.007     0.000     2.338     1000   ActionController::Instrumentation#process_action 
  0.15      0.007     0.007     0.000     0.000     5000   String#gsub 
  0.15      0.017     0.007     0.000     0.010     3000   ActiveSupport::Notifications::Event#initialize 
  0.15      0.058     0.007     0.000     0.050     1000   Rack::Request#cookies 
  0.15      0.012     0.007     0.000     0.004     9000   Arel::Visitors::Visitor#dispatch 
  0.15      0.027     0.007     0.000     0.020     3000   ActiveSupport::TaggedLogging::Formatter#call 
  0.15      0.021     0.007     0.000     0.014     8000   ActiveRecord::ConnectionAdapters::ConnectionHandler#class_to_pool 
  0.15      0.818     0.007     0.000     0.811     1000   ActiveRecord::FinderMethods#find_first 
  0.15      0.007     0.007     0.000     0.000     1000   <Module::OpenSSL::Random>#random_bytes 
  0.15      0.007     0.007     0.000     0.000     2000   Rack::Request#scheme 
  0.15      0.014     0.007     0.000     0.007     8000   URI::Generic#default_port 
